,Qname,Flag,Rname,Pos,MapQ,CIGAR,Organims
0,NZ_CP033723.2_0,97,NZ_CP040788.1,1536569,23,150M,tessellarius_ATCC_33566
1,NZ_CP033723.2_0,145,NZ_CP040788.1,1536449,23,150M,tessellarius_ATCC_33566
2,NZ_CP033723.2_2,73,NZ_CP040788.1,1558498,0,150M,tessellarius_ATCC_33566
3,NZ_CP033723.2_3,97,NZ_CP040788.1,160672,23,150M,tessellarius_ATCC_33566
4,NZ_CP033723.2_3,145,NZ_CP040788.1,160552,23,150M,tessellarius_ATCC_33566
5,NZ_CP033723.2_5,97,NZ_CP040788.1,412316,23,150M,tessellarius_ATCC_33566
6,NZ_CP033723.2_5,145,NZ_CP040788.1,412196,23,150M,tessellarius_ATCC_33566
7,NZ_CP033723.2_6,73,NZ_CP040788.1,1934470,0,150M,tessellarius_ATCC_33566
8,NZ_CP033723.2_7,97,NZ_CP040788.1,1150581,24,150M,tessellarius_ATCC_33566
9,NZ_CP033723.2_7,145,NZ_CP040788.1,1150461,24,150M,tessellarius_ATCC_33566
10,NZ_CP033723.2_8,73,NZ_CP040788.1,1129953,3,150M,tessellarius_ATCC_33566
11,NZ_CP033723.2_9,153,NZ_CP040788.1,2151710,3,150M,tessellarius_ATCC_33566
12,NZ_CP033723.2_10,73,NZ_CP040788.1,1731387,8,150M,tessellarius_ATCC_33566
13,NZ_CP033723.2_11,97,NZ_CP040788.1,1314055,8,150M,tessellarius_ATCC_33566
14,NZ_CP033723.2_11,145,NZ_CP040788.1,1313935,8,150M,tessellarius_ATCC_33566
15,NZ_CP033723.2_12,73,NZ_CP040788.1,672488,3,150M,tessellarius_ATCC_33566
16,NZ_CP033723.2_13,97,NZ_CP040788.1,1530165,23,150M,tessellarius_ATCC_33566
17,NZ_CP033723.2_13,145,NZ_CP040788.1,1530045,23,150M,tessellarius_ATCC_33566
18,NZ_CP033723.2_17,97,NZ_CP040788.1,2178212,40,150M,tessellarius_ATCC_33566
19,NZ_CP033723.2_17,145,NZ_CP040788.1,2178092,40,150M,tessellarius_ATCC_33566
20,NZ_CP033723.2_18,97,NZ_CP040788.1,10307,24,150M,tessellarius_ATCC_33566
21,NZ_CP033723.2_18,145,NZ_CP040788.1,10187,24,150M,tessellarius_ATCC_33566
22,NZ_CP033723.2_20,97,NZ_CP040788.1,28254,8,150M,tessellarius_ATCC_33566
23,NZ_CP033723.2_20,145,NZ_CP040788.1,28134,8,150M,tessellarius_ATCC_33566
24,NZ_CP033723.2_26,97,NZ_CP040788.1,834522,40,150M,tessellarius_ATCC_33566
25,NZ_CP033723.2_26,145,NZ_CP040788.1,834402,40,150M,tessellarius_ATCC_33566
26,NZ_CP033723.2_27,113,NZ_CP040791.1,7966,0,150M,tessellarius_ATCC_33566
27,NZ_CP033723.2_27,177,NZ_CP040788.1,2937905,0,150M,tessellarius_ATCC_33566
28,NZ_CP033723.2_28,97,NZ_CP040788.1,3058961,24,150M,tessellarius_ATCC_33566
29,NZ_CP033723.2_28,145,NZ_CP040788.1,3058841,24,150M,tessellarius_ATCC_33566
30,NZ_CP033723.2_29,97,NZ_CP040788.1,1511199,3,150M,tessellarius_ATCC_33566
31,NZ_CP033723.2_29,145,NZ_CP040788.1,1511079,3,150M,tessellarius_ATCC_33566
32,NZ_CP033723.2_32,97,NZ_CP040788.1,1486405,24,150M,tessellarius_ATCC_33566
