database	amr gene	contig amr	amr length	contig length	amr coverage	length	pident
../a3/BAL_En.fa	glpt	k141_521	1359	399	29	399	84.211
../a3/BAL_En.fa	pare	k141_195	1893	411	22	409	87.286
../a3/BAL_En.fa	pare	k141_224	1893	331	17	331	86.405
../a3/BAL_En.fa	pare	k141_595	1893	440	5	100	94.000
../a3/BAL_En.fa	papg	k141_272	420	465	74	309	92.557
../a3/BAL_En.fa	tesa	k141_86	627	501	54	341	83.284
../a3/BAL_En.fa	entf	k141_694	3882	594	15	586	76.621
../a3/BAL_En.fa	fepd	k141_267	1008	402	32	327	87.768
../a3/BAL_En.fa	entc	k141_330	1188	502	42	496	82.056
../a3/BAL_En.fa	pare	k141_595	1896	440	5	103	85.437
../a3/BAL_En.fa	gyrb	k141_181	2415	429	11	272	90.074
../a3/BAL_En.fa	uhpt	k141_313	1392	309	22	308	90.260
../a3/BAL_En.fa	oqxa10	k141_236	1176	340	29	340	88.529
../a3/BAL_En.fa	oqxa11	k141_236	1176	340	29	340	88.824
../a3/BAL_En.fa	oqxa3	k141_236	1176	340	29	340	88.529
../a3/BAL_En.fa	oqxa8	k141_236	1176	340	29	340	88.529
../a3/BAL_En.fa	oqxb14	k141_228	3153	409	13	398	89.447
../a3/BAL_En.fa	oqxb19	k141_228	3153	409	13	398	89.447
../a3/BAL_En.fa	oqxb22	k141_228	3153	409	13	398	89.447
../a3/BAL_En.fa	oqxb25	k141_228	3153	409	13	409	89.487
../a3/BAL_En.fa	oqxb32	k141_228	3153	409	13	398	89.196
../a3/BAL_En.fa	oqxb5	k141_228	3153	409	13	409	88.998
../a3/BAL_En.fa	oqxb9	k141_228	3153	409	13	398	89.447
../a3/BAL_En.fa	pare	k141_195	1893	411	22	411	97.080
../a3/BAL_En.fa	pare	k141_224	1893	331	17	331	99.698
../a3/BAL_En.fa	pare	k141_595	1893	440	5	100	100.000
../a3/BAL_En.fa	folc	k141_384	1269	317	25	317	95.584
../a3/BAL_En.fa	glpt	k141_521	1353	399	29	396	91.919
../a3/BAL_En.fa	flha	k141_363	2079	452	22	452	99.558
../a3/BAL_En.fa	tesa	k141_86	633	501	62	394	98.223
../a3/BAL_En.fa	iucd	k141_736	1326	387	29	386	94.301
../a3/BAL_En.fa	flii	k141_391	1371	358	26	358	98.324
../a3/BAL_En.fa	cyca	k141_205	1410	509	36	509	97.446
../a3/BAL_En.fa	porin	k141_347	1146	457	40	456	97.149
../a3/BAL_En.fa	uhpt	k141_313	1392	309	22	309	100.000
../a3/BAL_En.fa	oqxb24	k141_228	3153	409	13	409	89.487
../a3/BAL_En.fa	mcr-9	k141_223	1949	326	2	40	100.000
../a3/BAL_En.fa	oqxa6	k141_236	1173	340	29	340	88.235
../a3/BAL_En.fa	oqxb20	k141_228	3150	409	13	398	89.447
../a3/BAL_Es.fa	entd	k141_39	621	374	21	133	95.489
../a3/BAL_Es.fa	fepa	k141_39	2241	374	3	67	92.537
../a3/BAL_Es.fa	mcr-9	k141_24	1949	536	2	41	100.000
../a3/BAL_Kl.fa	tesa	k141_323	594	422	16	97	88.660
../a3/BAL_Kl.fa	mrkc	k141_498	2487	1238	28	707	99.717
../a3/BAL_Kl.fa	mrkc	k141_642	2487	710	29	710	99.437
../a3/BAL_Kl.fa	mrkc	k141_781	2487	505	1	32	100.000
../a3/BAL_Kl.fa	cyaa	k141_1299	2547	307	12	307	85.342
../a3/BAL_Kl.fa	ente	k141_516	1611	537	18	286	83.566
../a3/BAL_Kl.fa	parc	k141_536	2259	514	23	512	86.719
../a3/BAL_Kl.fa	parc	k141_1333	2259	401	17	384	87.760
../a3/BAL_Kl.fa	pare	k141_1081	1893	355	19	354	85.593
../a3/BAL_Kl.fa	ompr	k141_8	720	333	11	78	91.026
../a3/BAL_Kl.fa	papa	k141_1045	1542	536	35	535	91.776
../a3/BAL_Kl.fa	setb	k141_66	1182	516	44	516	96.512
../a3/BAL_Kl.fa	fimd	k141_594	2616	336	13	336	95.833
../a3/BAL_Kl.fa	fimc	k141_16	705	327	46	326	95.092
../a3/BAL_Kl.fa	entf	k141_426	3882	403	10	403	99.256
../a3/BAL_Kl.fa	entf	k141_530	3882	311	8	311	98.392
../a3/BAL_Kl.fa	fepb	k141_927	960	391	41	391	99.744
../a3/BAL_Kl.fa	entc	k141_422	1188	422	36	422	95.261
../a3/BAL_Kl.fa	ente	k141_108	1608	476	30	475	98.947
../a3/BAL_Kl.fa	ente	k141_516	1608	537	19	304	98.684
../a3/BAL_Kl.fa	entb	k141_516	852	537	26	220	96.818
../a3/BAL_Kl.fa	rnfc	k141_1161	2262	303	29	303	98.020
../a3/BAL_Kl.fa	rnfc	k141_1161	2262	303	29	176	95.455
../a3/BAL_Kl.fa	rnfc	k141_1161	2262	303	29	176	94.886
../a3/BAL_Kl.fa	rnfc	k141_1161	2262	303	29	176	94.318
../a3/BAL_Kl.fa	rnfc	k141_1161	2262	303	29	128	94.531
../a3/BAL_Kl.fa	rnfc	k141_1161	2262	303	29	74	89.189
../a3/BAL_Kl.fa	mrkb	k141_781	702	505	66	462	99.567
../a3/BAL_Kl.fa	parc	k141_536	2259	514	23	511	99.022
../a3/BAL_Kl.fa	parc	k141_1333	2259	401	17	385	100.000
../a3/BAL_Kl.fa	pare	k141_308	1896	332	18	332	98.193
../a3/BAL_Kl.fa	pare	k141_1081	1896	355	19	354	95.198
../a3/BAL_Kl.fa	pare	k141_595	1896	328	16	310	98.387
../a3/BAL_Kl.fa	ompr	k141_8	720	333	10	75	97.333
../a3/BAL_Kl.fa	gyrb	k141_340	2415	795	17	402	96.766
../a3/BAL_Kl.fa	gyrb	k141_609	2415	341	14	341	99.120
../a3/BAL_Kl.fa	mrka	k141_458	609	394	65	394	98.985
../a3/BAL_Kl.fa	alld	k141_714	1017	332	33	333	95.796
../a3/BAL_Kl.fa	uhpt	k141_1364	1392	385	27	381	91.864
../a3/BAL_Kl.fa	ptxd	k141_740	1011	329	32	324	100.000
