database	amr gene	contig amr	amr length	contig length	amr coverage	length	pident
../b3/BAL_En.fa	sila	k141_389512	3147	518	16	518	96.911
../b3/BAL_En.fa	silc	k141_31922	1386	776	12	165	97.576
../b3/BAL_En.fa	silc	k141_31922	393	776	42	165	97.576
../b3/BAL_En.fa	silb	k141_31922	1293	776	9	116	88.793
../b3/BAL_En.fa	ptsi	k141_505129	1728	502	29	502	91.434
../b3/BAL_En.fa	ptsi	k141_89865	1728	331	19	331	90.332
../b3/BAL_En.fa	rpos	k141_567540	993	382	38	376	90.957
../b3/BAL_En.fa	pare	k141_477715	1893	443	2	47	97.872
../b3/BAL_En.fa	ompr	k141_166059	720	323	45	323	91.641
../b3/BAL_En.fa	uhpt	k141_595134	1392	306	22	306	82.680
../b3/BAL_En.fa	papg	k141_335497	420	666	100	420	93.333
../b3/BAL_En.fa	papb	k141_314897	1383	493	36	493	90.669
../b3/BAL_En.fa	papb	k141_355531	1383	426	25	349	89.685
../b3/BAL_En.fa	papb	k141_335497	1383	666	5	71	95.775
../b3/BAL_En.fa	tesa	k141_405253	627	501	54	341	83.284
../b3/BAL_En.fa	entf	k141_92377	3882	799	20	799	80.851
../b3/BAL_En.fa	fepd	k141_503818	1008	407	40	408	85.294
../b3/BAL_En.fa	entc	k141_357654	1188	551	42	504	79.563
../b3/BAL_En.fa	rnfc	k141_208005	2262	448	20	451	88.027
../b3/BAL_En.fa	pare	k141_477715	1896	443	3	50	90.000
../b3/BAL_En.fa	ompr	k141_498516	720	339	22	155	89.677
../b3/BAL_En.fa	rpos	k141_567540	1101	382	35	382	89.267
../b3/BAL_En.fa	uhpt	k141_595134	1392	306	22	303	92.079
../b3/BAL_En.fa	sila	k141_389512	3147	518	16	518	96.332
../b3/BAL_En.fa	ompr	k141_166059	720	323	45	323	91.022
../b3/BAL_En.fa	ompr	k141_498516	720	339	22	155	94.839
../b3/BAL_En.fa	pare	k141_477715	1893	443	2	47	100.000
../b3/BAL_En.fa	rpos	k141_567540	993	382	38	382	97.120
../b3/BAL_En.fa	roba	k141_242278	870	362	30	257	95.331
../b3/BAL_En.fa	folc	k141_430043	1269	317	25	317	95.584
../b3/BAL_En.fa	tesa	k141_405253	633	501	62	394	98.223
../b3/BAL_En.fa	ptsi	k141_505129	1728	502	29	499	93.988
../b3/BAL_En.fa	ptsi	k141_89865	1728	331	19	331	99.698
../b3/BAL_En.fa	iucd	k141_19141	1326	387	29	386	94.301
../b3/BAL_En.fa	flii	k141_330124	1371	358	26	358	98.324
../b3/BAL_En.fa	cyca	k141_182631	1410	416	30	416	96.394
../b3/BAL_En.fa	porin	k141_315255	1146	450	39	450	95.333
../b3/BAL_En.fa	uhpt	k141_595134	1392	306	22	306	91.830
../b3/BAL_Es.fa	flha	k141_343994	2079	377	18	377	88.594
../b3/BAL_Es.fa	espx4	k141_584763	1581	305	19	304	92.434
../b3/BAL_Es.fa	arr	k141_178831	543	1601	10	57	100.000
../b3/BAL_Es.fa	merr	k141_360456	494	583	7	36	100.000
../b3/BAL_Es.fa	mcr-9	k141_294060	1949	2276	2	40	100.000
../b3/BAL_Kl.fa	sila	k141_205215	3147	786	25	786	90.076
../b3/BAL_Kl.fa	sila	k141_552916	3147	452	14	449	97.327
../b3/BAL_Kl.fa	silc	k141_547426	1386	490	35	490	95.714
../b3/BAL_Kl.fa	silc	k141_275334	1386	575	29	406	94.335
../b3/BAL_Kl.fa	fliy	k141_495287	858	308	32	277	86.643
../b3/BAL_Kl.fa	tesa	k141_144000	594	442	8	46	95.652
../b3/BAL_Kl.fa	silc	k141_275334	393	575	100	393	95.420
../b3/BAL_Kl.fa	mrkc	k141_83338	2487	1600	34	856	99.766
../b3/BAL_Kl.fa	mrkc	k141_495255	2487	797	32	797	99.498
../b3/BAL_Kl.fa	mrkc	k141_569548	2487	436	18	436	100.000
../b3/BAL_Kl.fa	mrkc	k141_56820	2487	727	10	254	100.000
../b3/BAL_Kl.fa	cyaa	k141_556247	2547	307	12	307	85.342
../b3/BAL_Kl.fa	ente	k141_201465	1611	534	18	286	83.916
